abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,victim,tk.mybatis.mapper.test.able.TestBasicAble.testInsert | tk.mybatis.mapper.base.genid.InsertGenIdTest.testUUID,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,victim,tk.mybatis.mapper.test.able.TestBasicAble.testUpdateByPrimaryKey | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenIdWithExistsId,https://github.com/abel533/Mapper/pull/838
abel533/Mapper,3c0b3307011fad53f811e08d05147d94fc6c0d67,base,tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete,victim,tk.mybatis.mapper.test.example.TestUpdateByExample.testUpdateByExample | tk.mybatis.mapper.base.genid.InsertGenIdTest.testGenId,https://github.com/abel533/Mapper/pull/838
alibaba/easyexcel,756f16e42fbd7bc5c7fa18426cbc02fc81a42057,.,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t03SynchronousRead07,brittle,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t01ReadAndWrite07,https://github.com/alibaba/easyexcel/pull/1684
alibaba/easyexcel,756f16e42fbd7bc5c7fa18426cbc02fc81a42057,.,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t04SynchronousRead03,brittle,com.alibaba.easyexcel.test.core.simple.SimpleDataTest.t02ReadAndWrite03,https://github.com/alibaba/easyexcel/pull/1684
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.bug.Issue978.test_for_issue,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.bug.Issue978.test_for_issue,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest2.test_codec,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest2.test_codec_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest2.test_codec_no_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest2.test_codec_null_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest2.test_codec_null_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest4.test_codec,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest4.test_codec_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest4.test_codec_no_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest4.test_codec_null_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.date.DateFieldTest4.test_codec_null_asm,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DateParserTest.test_date_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DateParserTest.test_date_3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DateParserTest.test_date_5,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DateParserTest.test_date_error_0,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DateParserTest.test_date_new_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DefaultJSONParserTest_date.test_date3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DefaultJSONParserTest_date.test_date,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest.test_date,brittle,com.alibaba.json.bvt.parser.DefaultJSONParserTest_date.test_dateFormat,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_cn,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_cn_3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_cn_3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_de,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_in,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_kr_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_kr_2,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_kr_3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_kr_4,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.date.DateFieldTest9.test_tw,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateFormatDeserializerTest.test_dateFormat_array,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateFormatDeserializerTest.test_dateFormat_empty,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateFormatDeserializerTest.test_dateFormat_error,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateFormatDeserializerTest.test_dateFormat_null,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateFormatDeserializerTest.test_dateFormat_yyyy,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.parser.deser.date.DateParseTest3.test_date,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.serializer.date.DateTest.test_0,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.serializer.date.DateTest.test_5,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.serializer.date.DateTest.test_6,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.date.DateTest_tz.test_codec,brittle,com.alibaba.json.bvt.serializer.date.DateTest.test_8,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.bug.Bug_for_80108116.test_for_dateFormat,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.bug.Bug_for_issue_331.test_for_issue,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.bug.Bug_for_xiayucai2012.test_for_xiayucai2012,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.date.DateFieldTest6.test_0,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.date.DateFieldTest8.test_0,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.jdk8.LocalTimeTest.test_for_issue,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.jdk8.LocalTimeTest.test_for_long,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.array.BeanToArrayTest_date_private.test_date2,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.array.BeanToArrayTest_date_private.test_date,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.DateParserTest_sql_timestamp.test_date_1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.DateParserTest_sql_timestamp.test_date_2,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.DateParserTest_sql_timestamp.test_date_3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.DateParserTest_sql_timestamp.test_date_4,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.deser.date.DateParseTest6.test_date,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.deser.date.DateParseTest6.test_date,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.parser.deser.TimeDeserializerTest.test_time,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.serializer.date.DateTest_ISO8601_TimeZone.test_date1,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.serializer.date.DateTest_ISO8601_TimeZone.test_date2,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.serializer.date.DateTest_ISO8601_TimeZone.test_date3,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,brittle,com.alibaba.json.bvt.TimestampTest.test_0,https://github.com/alibaba/fastjson/pull/2148
alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue,brittle,com.alibaba.json.bvt.bug.Bug_for_80108116.test_for_dateFormat,https://github.com/alibaba/fastjson/pull/2148
